depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.260000 11.958101 12.323040 12.437488 12.428096 12.549882 12.757126
3.280000 12.002032 12.362955 12.468784 12.463245 12.583531 12.783370
3.300000 12.059198 12.397039 12.500687 12.497902 12.617824 12.815810
3.320000 12.126888 12.428910 12.535664 12.534149 12.653289 12.848759
3.340000 12.188797 12.466578 12.571283 12.570896 12.687562 12.883050
3.360000 12.230414 12.501396 12.602144 12.606105 12.724597 12.915310
3.380000 12.271657 12.538922 12.636182 12.641997 12.756767 12.940664
3.400000 12.335035 12.576808 12.672150 12.678975 12.796190 12.970762
3.420000 12.390814 12.616865 12.706962 12.715578 12.835209 13.004604
3.440000 12.446636 12.653457 12.738660 12.751560 12.868390 13.037703
3.460000 12.506346 12.688443 12.771619 12.787081 12.901106 13.071957
3.480000 12.566438 12.721830 12.806760 12.822796 12.935194 13.104427
3.500000 12.615240 12.760622 12.840113 12.859402 12.974402 13.139592
3.520000 12.645111 12.797493 12.876596 12.895503 13.011325 13.168773
3.540000 12.686075 12.833555 12.910106 12.931842 13.047737 13.204325
3.560000 12.725601 12.868355 12.944712 12.968900 13.089651 13.241162
3.580000 12.788136 12.908710 12.981457 13.007270 13.123112 13.272081
3.600000 12.842090 12.940959 13.020400 13.045017 13.163736 13.309551
3.620000 12.875835 12.977755 13.056945 13.083860 13.209229 13.347125
3.640000 12.916599 13.010663 13.094056 13.121581 13.252684 13.380940
3.660000 12.950824 13.048261 13.134250 13.160151 13.297274 13.427949
3.680000 12.991812 13.082017 13.171419 13.198880 13.333918 13.474856
3.700000 13.026334 13.118500 13.209360 13.236547 13.373596 13.528823
3.720000 13.062321 13.153909 13.246933 13.273959 13.411403 13.576629
3.760000 13.135846 13.225384 13.317392 13.347294 13.486013 13.686183
3.780000 13.168689 13.263531 13.360445 13.387228 13.523280 13.722756
3.800000 13.196805 13.300592 13.394967 13.425834 13.560199 13.762557
3.820000 13.230865 13.334760 13.430866 13.463699 13.602224 13.815528
3.840000 13.260628 13.372036 13.468152 13.502631 13.636702 13.861937
3.860000 13.302163 13.407884 13.506516 13.540703 13.676400 13.928082
3.880000 13.333053 13.445873 13.548935 13.580426 13.716834 13.959887
3.900000 13.374142 13.484272 13.587382 13.620928 13.761720 13.997463
3.920000 13.406292 13.523577 13.630207 13.662655 13.801102 14.047886
3.940000 13.449121 13.562713 13.673962 13.705035 13.848772 14.119633
3.960000 13.501291 13.596557 13.719265 13.746259 13.889485 14.161820
3.980000 13.541247 13.635429 13.761727 13.789154 13.940627 14.238145
4.000000 13.571934 13.673907 13.805164 13.832845 13.994175 14.305054
4.010000 13.594218 13.693824 13.826883 13.854695 14.019271 14.356159
4.020000 13.609960 13.711916 13.850219 13.875932 14.039082 14.372476
4.040000 13.654501 13.751888 13.891172 13.916698 14.081572 14.397521
4.060000 13.692839 13.788197 13.926907 13.954813 14.123301 14.422034
4.203333 13.854863 13.989335 14.152617 14.173711 14.359681 14.626623
4.346667 14.031818 14.193630 14.374057 14.388068 14.589961 14.835184
4.490000 14.207253 14.401048 14.602853 14.612412 14.819093 15.078280
4.510000 14.244521 14.438763 14.642042 14.649957 14.852594 15.113778
4.632500 14.442046 14.632926 14.845052 14.847914 15.048893 15.289702
4.755000 14.637230 14.838325 15.043640 15.043619 15.251632 15.458679
