depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
4.930000 29.963959 30.244245 30.610818 30.641140 31.053733 31.485157
4.955000 30.060550 30.365444 30.738860 30.772530 31.206426 31.650257
5.005000 30.247873 30.588832 31.029330 31.085211 31.612935 32.160821
5.030000 30.309625 30.694901 31.175858 31.215424 31.777311 32.300440
5.080000 30.479662 30.924566 31.458268 31.515784 32.158362 32.716110
5.105000 30.543144 31.035041 31.599741 31.647234 32.314652 32.849058
5.155000 30.749133 31.257410 31.923383 31.934544 32.636173 33.171915
5.180000 30.822474 31.375364 32.036783 32.065679 32.774683 33.298692
5.205000 30.949856 31.501357 32.175208 32.193993 32.924092 33.438068
5.230000 31.075778 31.604281 32.292736 32.317732 33.059958 33.549537
5.255000 31.207630 31.735553 32.417905 32.446631 33.185509 33.701370
5.305000 31.456942 32.058545 32.755713 32.750150 33.477133 33.977684
5.330000 31.576832 32.189267 32.899465 32.886273 33.593223 34.126550
5.355000 31.712706 32.321748 33.026995 33.016249 33.720778 34.213001
5.405000 32.046133 32.612305 33.398549 33.335442 34.008550 34.421701
5.430000 32.163615 32.757973 33.565436 33.473447 34.146755 34.556395
5.455000 32.315181 32.914288 33.711283 33.608548 34.261284 34.662621
5.480000 32.466825 33.038625 33.828072 33.738564 34.402626 34.760118
5.505000 32.651052 33.199708 33.959503 33.879589 34.523664 34.889810
5.530000 32.842329 33.349936 34.095811 34.020053 34.649441 34.992169
5.555000 33.009592 33.515524 34.228964 34.166854 34.767826 35.107858
5.580000 33.171286 33.707459 34.380273 34.316105 34.883863 35.267265
5.605000 33.332524 33.862758 34.523830 34.465623 35.020537 35.389467
5.630000 33.515110 34.044353 34.669883 34.617105 35.150457 35.534638
5.655000 33.694201 34.217611 34.807894 34.765454 35.267648 35.704813
5.680000 33.893136 34.381154 34.955452 34.912358 35.389289 35.848729
5.705000 34.047135 34.541266 35.095367 35.051379 35.523694 35.962720
5.730000 34.204014 34.707975 35.234145 35.190257 35.628889 36.070497
5.755000 34.330817 34.886437 35.370550 35.332292 35.761472 36.163127
5.780000 34.556812 35.053220 35.507561 35.483318 35.885708 36.282220
5.805000 34.708055 35.208919 35.654681 35.632553 36.034721 36.427888
5.830000 34.893475 35.412009 35.814972 35.796163 36.177085 36.605763
5.855000 35.035332 35.559934 35.983328 35.967751 36.381703 36.789548
5.880000 35.182732 35.722136 36.150484 36.143421 36.569106 37.061281
5.905000 35.309307 35.862685 36.313115 36.314851 36.768273 37.273447
5.930000 35.473463 36.013130 36.504852 36.500282 36.974567 37.552999
5.955000 35.627056 36.157053 36.668923 36.673356 37.189688 37.775259
5.980000 35.770699 36.332062 36.845292 36.844009 37.362006 37.939908
6.005000 35.892817 36.466760 37.028093 37.016647 37.556941 38.153563
6.030000 36.018097 36.618185 37.203230 37.189542 37.751039 38.382354
6.055000 36.155442 36.752510 37.371484 37.356618 37.923949 38.574044
6.080000 36.251837 36.891421 37.528617 37.512084 38.114616 38.710634
6.105000 36.383760 37.042002 37.675387 37.665696 38.291604 38.919236
6.130000 36.493768 37.186136 37.851395 37.826858 38.474756 39.059396
6.155000 36.639290 37.342193 38.021098 37.995156 38.642864 39.219942
6.205000 36.985102 37.843200 38.614343 38.530409 39.185889 39.694312
6.230000 37.084910 38.011340 38.768663 38.684354 39.336811 39.869521
6.255000 37.208920 38.162252 38.912226 38.838369 39.477278 39.987149
6.280000 37.389421 38.328715 39.061834 38.982408 39.589813 40.151921
6.305000 37.575024 38.485421 39.186199 39.118472 39.716814 40.293385
6.330000 37.759715 38.618698 39.324322 39.254989 39.842194 40.416117
6.355000 37.892065 38.763965 39.455054 39.382044 39.959258 40.522460
6.405000 38.515304 39.092978 39.731763 39.658050 40.149316 40.727166
6.455000 38.874215 39.406401 39.964363 39.920054 40.414623 40.910889
6.480000 38.988100 39.527312 40.072621 40.033943 40.537311 40.995128
6.505000 39.115651 39.641039 40.182287 40.146867 40.655262 41.093183
6.530000 39.217851 39.745441 40.274305 40.253317 40.766694 41.205771
6.555000 39.377556 39.859264 40.355278 40.357213 40.893574 41.305095
6.580000 39.480952 39.961877 40.452683 40.460726 40.994948 41.418527
6.605000 39.587302 40.077968 40.542920 40.562571 41.096311 41.521768
6.630000 39.700029 40.188496 40.626842 40.665795 41.195073 41.623050
